Original|translated
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
"""0x0A"|"""0x0A"
0x1C|0x1C
0x03|0x03
mine30x00|mine30x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
#0x04|#0x04
0x0E|0x0E
0x02|0x02
mine 30x00|mine 30x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
#0x04|#0x04
0x0E|0x0E
0x02|0x02
mine40x00|mine40x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
$0x07|$0x07
0x07|0x07
0x02|0x02
mine 40x00|mine 40x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
$0x07|$0x07
0x07|0x07
0x02|0x02
mine50x00|mine50x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
%0x08|%0x08
0x04|0x04
0x03|0x03
mine 50x00|mine 50x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
%0x08|%0x08
0x04|0x04
0x03|0x03
alpha0x00|alpha0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
&0x0F|&0x0F
0x00|0x00
0x00|0x00
deep mine alpha0x00|deep mine alpha0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
&0x0F|&0x0F
0x00|0x00
0x00|0x00
theta0x00|theta0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
'0x07|'0x07
0x00|0x00
0x00|0x00
deep mine theta0x00|deep mine theta0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
'0x07|'0x07
0x00|0x00
0x00|0x00
kappa0x00|kappa0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
(0x0E|(0x0E
0x00|0x00
0x00|0x00
deep mine kappa0x00|deep mine kappa0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
(0x0E|(0x0E
0x00|0x00
0x00|0x00
omega0x00|omega0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
)0x07|)0x07
0x00|0x00
0x00|0x00
deep mine omega0x00|deep mine omega0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
)0x07|)0x07
0x00|0x00
0x00|0x00
i lost it0x00|i lost it0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
ðàçâÿçêà0x00|ðàçâÿçêà0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
ãåíåçèç0x00|ãåíåçèç0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
12345670x00|12345670x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x00|0x00
0x1C|0x1C
0x01|0x01
0x02|0x02
